ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
EVPL,0.14095705177552986,8.33107260411153,1.5468255918275915,0.12251969578296766,0.9999970699667557,-4.345664405354778
FLII,-0.07225231561947254,9.043749384906938,-1.5464638854010437,0.12260696111524932,0.9999970699667557,-4.346031643666711
CGB,0.11968921352162099,5.611419149196206,1.5463922590685315,0.12262424746779262,0.9999970699667557,-4.346104355380891
CAV3,-0.14138319887679174,5.685113096197852,-1.546080302809277,0.12269955749618096,0.9999970699667557,-4.346421000045889
ANKFY1,-0.10947563369737523,8.412870243317535,-1.5455602128211416,0.12282519409926947,0.9999970699667557,-4.346948766216619
AP2M1,-0.12098543759213953,9.817854539722127,-1.544907038573394,0.12298312221299643,0.9999970699667557,-4.347611332463317
WDR43,0.11665627152296842,7.926514375892363,1.5448027762085146,0.12300834606418189,0.9999970699667557,-4.347717068417958
MSTN,-0.14494225862183097,5.590650615026817,-1.5444886931410606,0.1230843556389855,0.9999970699667557,-4.3480355479770925
DPF3,-0.13597433047970053,6.783577647765988,-1.5440222825054,0.12319729706922188,0.9999970699667557,-4.348508369357526
UGT8,0.1690712726477086,7.444291708724423,1.542688817657067,0.12352064360533127,0.9999970699667557,-4.349859384440635
PDZRN3,0.15581812933491435,6.783704309955065,1.5424150575258524,0.12358710873545989,0.9999970699667557,-4.350136604995285
ALDH18A1,-0.06458911198980033,9.062237004297323,-1.5423966685194999,0.12359157433231173,0.9999970699667557,-4.350155224703417
PIGR,0.2062492389653281,7.600365149167724,1.542118491393289,0.12365914243551071,0.9999970699667557,-4.350436864994616
IGF2R,0.08865771726519256,9.756913898583266,1.5410098377286288,0.12392871726627445,0.9999970699667557,-4.351558822392815
LGALS8,-0.13423861926210812,8.68481962753321,-1.5407430829544757,0.12399364865668064,0.9999970699667557,-4.3518286592521465
DNASE1L1,-0.08864139127802417,8.602389357863055,-1.5398415464283541,0.12421329078452018,0.9999970699667557,-4.352740270667807
BCL6,0.12500528890640794,9.499741759328824,1.539494189498884,0.12429799885531528,0.9999970699667557,-4.353091368752102
SYF2,0.14453646136159648,9.455793800634156,1.5384059255117162,0.12456368059312428,0.9999970699667557,-4.354190847197049
RNF219,0.07987291267082064,8.114968534457436,1.5381542085196078,0.12462519636299364,0.9999970699667557,-4.3544450487530995
GLB1L,-0.09344603047453859,7.80069268413728,-1.537362516827993,0.1248188285654845,0.9999970699667557,-4.35524428698626
DAB2,-0.12995885144738395,9.535604133203009,-1.5373175119176403,0.12482984294403848,0.9999970699667557,-4.355289708682436
PDE6G,-0.10946240757404446,7.2182796448400905,-1.5367505928507132,0.12496865426554708,0.9999970699667557,-4.355861765450642
RPL29,0.1177969127579992,9.005363778642463,1.5360893105635973,0.12513072309113618,0.9999970699667557,-4.356528777270357
MYL2,0.110042936928334,5.799908724095061,1.5355675059612928,0.1252587243071331,0.9999970699667557,-4.357054902769606
ACSM1,0.1791962466220971,5.871101950571488,1.535263733303287,0.12533328834836513,0.9999970699667557,-4.357361109556911
FAM124B,-0.09690136438418406,7.088264647843673,-1.53471588891208,0.1254678499464005,0.9999970699667557,-4.3579131925477235
ANO3,-0.17950318540464139,5.529729987072349,-1.5342855207553001,0.1255736361895533,0.9999970699667557,-4.358346753901805
LRRC23,-0.14075714160960207,7.1369110227126,-1.5339198594403356,0.1256635719886362,0.9999970699667557,-4.358715033928418
ADAM20,-0.11991121420888717,5.131834728193533,-1.5338791930778384,0.12567357714547014,0.9999970699667557,-4.358755986168299
CSH2,0.0779852271795134,6.612271650982486,1.5338100303305522,0.12569059470564606,0.9999970699667557,-4.358825632654539
TNNI1,0.13387421200989813,5.971822779931767,1.532814101108286,0.12593584374805097,0.9999970699667557,-4.359828183663129
MFI2,0.12935037625117918,7.277684667467777,1.5320607941769446,0.12612159490544148,0.9999970699667557,-4.360586071941321
KRT17,0.2103117652381652,9.42308133447476,1.5319604170789967,0.12614636213804944,0.9999970699667557,-4.360687031711073
ACTC1,-0.17264625060709626,5.886813911865549,-1.5314075922196622,0.1262828352616841,0.9999970699667557,-4.361242948528735
HIST1H2BJ,0.11443484826858352,8.560827813233942,1.5313477015637256,0.12629762709040543,0.9999970699667557,-4.361303162254742
MED6,-0.057374318382658274,9.026449796625547,-1.5308201604662743,0.1264279779560685,0.9999970699667557,-4.361833448593616
ICMT,-0.05750357105383763,8.651644659047665,-1.530302029106074,0.12655610599915976,0.9999970699667557,-4.362354100537671
CXCR4,0.1383569730978884,9.262280805523352,1.5297183164330397,0.1267005729905081,0.9999970699667557,-4.362940444268224
REG1A,0.14112614256550504,5.082974050604635,1.5296637002696098,0.12671409689802557,0.9999970699667557,-4.362995295305943
ZNF778,-0.1126279820439402,7.520879370377306,-1.5287042774806252,0.12695185041976537,0.9999970699667557,-4.363958528553345
ARHGAP5,-0.15003278445092505,6.703726380303014,-1.5284994891944363,0.12700264384866114,0.9999970699667557,-4.364164052863858
SUMO3,-0.06527704046548166,10.768319374973439,-1.528489480659073,0.1270051266619328,0.9999970699667557,-4.364174096673381
AMIGO3,0.12486765110929543,7.306652058905886,1.5282734907211195,0.12705871642849634,0.9999970699667557,-4.364390832020194
RAPGEF6,0.10037766727964303,8.318237890978576,1.5280054585191896,0.12712524305968745,0.9999970699667557,-4.364659747163394
FAH,-0.1280088392080767,8.303830469100333,-1.5275161760085514,0.1272467549774737,0.9999970699667557,-4.365150521284045
IQCC,-0.12849498767665946,7.62140026721284,-1.5264105046977625,0.12752167911471032,0.9999970699667557,-4.366258991401626
RNF40,-0.058621547665330453,8.609084278487785,-1.5261920624229934,0.12757604936242978,0.9999970699667557,-4.36647789282019
GGT1,-0.151755631918693,7.720947198284908,-1.5257037652562508,0.127697651843902,0.9999970699667557,-4.366967104419029
DOLK,-0.057859378419365726,8.428048074680607,-1.5242979445219889,0.12804825356251043,0.9999970699667557,-4.368374694239729
NDRG2,0.14031227759629594,8.637444953289183,1.5240537865554267,0.12810922125991184,0.9999970699667557,-4.368619028799828
CDC14B,0.0899872849405785,8.249949511446045,1.5235981450461709,0.1282230581894684,0.9999970699667557,-4.369074896449133
PHF3,0.08121598133861418,8.934794925304457,1.5225534532486318,0.1284843604458386,0.9999970699667557,-4.370119598384665
HAVCR1,-0.1316563491506324,5.077307106706093,-1.5219389592280497,0.1286382537827609,0.9999970699667557,-4.370733767686647
CD63,-0.12409928768616396,9.614457119231593,-1.5218355656779643,0.12866416168567285,0.9999970699667557,-4.370837082525821
TBX2,-0.11453236590821092,8.256276599251835,-1.5208950180051168,0.1289000267972449,0.9999970699667557,-4.371776595715664
EIF5A,-0.11864287323325406,10.23230188940824,-1.5208340771745739,0.12891532080119666,0.9999970699667557,-4.371837449723479
JUP,-0.1392399533412938,10.301772242852865,-1.5204646328560838,0.12900806859528222,0.9999970699667557,-4.372206316119403
CTNND2,-0.15419912531370983,6.709687334048439,-1.52035914189287,0.12903456129809313,0.9999970699667557,-4.372311625812216
PDAP1,-0.1076948204061754,7.381657964212343,-1.519570313359962,0.1292327998453124,0.9999970699667557,-4.37309887003892
OSMR,-0.12999503721323968,7.3806465155866965,-1.5190601460825575,0.1293611350035685,0.9999970699667557,-4.3736077977255
FAM46C,0.15539306747007764,8.75849079746409,1.518884584320363,0.1294053214028035,0.9999970699667557,-4.373782893862841
P2RY2,-0.14404826719467057,7.072224242064268,-1.5178789591680506,0.12965864950812914,0.9999970699667557,-4.374785466599951
COL4A4,0.15147043079191924,6.568641666122328,1.517318170849829,0.1298000859167753,0.9999970699667557,-4.375344267795731
BICC1,-0.15255292301125944,6.42863782615284,-1.5155150346343684,0.13025566902960842,0.9999970699667557,-4.377139632023697
TMEM40,0.1256808104305076,6.944854904556682,1.5148445566114777,0.1304253900809407,0.9999970699667557,-4.3778066821084884
IRS4,-0.12183525388926952,6.232840062023451,-1.514459363749421,0.13052297344678304,0.9999970699667557,-4.378189773691518
ADD3,0.13114742501225685,8.311384210976149,1.5144190684839638,0.13053318498495067,0.9999970699667557,-4.37822984357893
DOCK5,-0.11682201500659772,7.559748340372717,-1.5138537325805133,0.13067651672280986,0.9999970699667557,-4.378791906395342
CCT8L2,-0.07345095186828843,5.729502950374138,-1.5136978714747304,0.1307160542995073,0.9999970699667557,-4.378946828657399
EDA,-0.13787478968697808,7.202658768749853,-1.51330477683909,0.1308158126814308,0.9999970699667557,-4.379337485446773
